"Gold medal times in the 100m sprint at the Summer Olympics, 1896-2020",,,
Gold medal winning times in the Men's and Women's 100m Sprint at the Summer Olympics from 1896 to 2020 (in seconds),,,
,,Men,Women
Athens,1896,12,
Paris,1900,11,
St. Louis,1904,11,
London,1908,10.80,
Stockholm,1912,10.80,
Antwerp,1920,10.80,
Paris,1924,10.60,
Amsterdam,1928,10.80,12.20
Los Angeles,1932,10.30,11.90
Berlin,1936,10.30,11.50
London,1948,10.30,11.90
Helsinki,1952,10.40,11.50
Melbourne,1956,10.50,11.50
Rome,1960,10.20,11
Tokyo,1964,10,11.40
Mexico City,1968,9.95,11
Munich,1972,10.14,11.07
Montreal,1976,10.06,11.08
Moscow,1980,10.25,11.06
Los Angeles,1984,9.99,10.97
Seoul,1988,9.92,10.62
Barcelona,1992,9.96,10.82
Atlanta,1996,9.84,10.94
Sydney,2000,9.87,10.75
Athens,2004,9.85,10.93
Beijing,2008,9.69,10.78
London,2012,9.63,10.75
Rio,2016,9.81,10.71
Tokyo,2020,9.80,10.61
